Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.562,-122.3405,2021-02-17T16:00:00Z,PM2.5,9.1,UG/M3,8,38,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T16:00:00Z,PM2.5,6,UG/M3,4.9,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T16:00:00Z,PM2.5,5,UG/M3,5,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.498535,-122.278385,2021-02-17T16:00:00Z,PM2.5,5,UG/M3,3.6,21,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.753633,-122.277192,2021-02-17T16:00:00Z,PM2.5,6.2,UG/M3,5.5,26,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T16:00:00Z,PM2.5,7.7,UG/M3,7,32,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.592675,-122.627397,2021-02-17T17:00:00Z,PM2.5,5,UG/M3,4,21,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T17:00:00Z,PM2.5,6.2,UG/M3,6,26,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-02-17T17:00:00Z,PM2.5,5.4,UG/M3,6,23,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.2656,-122.3858,2021-02-17T17:00:00Z,PM2.5,5,UG/M3,4,21,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.562,-122.3405,2021-02-17T17:00:00Z,PM2.5,8,UG/M3,7,33,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T17:00:00Z,PM2.5,5.4,UG/M3,4.6,23,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
